hotel_id,room_floor_id,roomtype_id
1,200,room_type_1
1,300,room_type_2
1,400,room_type_4
1,201,room_type_1
1,301,room_type_2
1,401,room_type_4
1,202,room_type_1
1,302,room_type_2
1,402,room_type_4
1,203,room_type_1
1,303,room_type_2
1,403,room_type_4
1,204,room_type_1
1,304,room_type_2
1,404,room_type_4
1,205,room_type_1
1,305,room_type_2
1,405,room_type_4
1,206,room_type_1
1,306,room_type_2
1,406,room_type_4
1,207,room_type_1
1,307,room_type_2
1,407,room_type_4
1,208,room_type_1
1,308,room_type_2
1,408,room_type_4
1,209,room_type_1
1,309,room_type_2
1,409,room_type_4
2,200,room_type_1
2,300,room_type_2
2,400,room_type_4
2,201,room_type_1
2,301,room_type_2
2,401,room_type_4
2,202,room_type_1
2,302,room_type_2
2,402,room_type_4
2,203,room_type_1
2,303,room_type_2
2,403,room_type_4
2,204,room_type_1
2,304,room_type_2
2,404,room_type_4
2,205,room_type_1
2,305,room_type_2
2,405,room_type_4
2,206,room_type_1
2,306,room_type_2
2,406,room_type_4
2,207,room_type_1
2,307,room_type_2
2,407,room_type_4
2,208,room_type_1
2,308,room_type_2
2,408,room_type_4
2,209,room_type_1
2,309,room_type_2
2,409,room_type_4
3,200,room_type_1
3,300,room_type_2
3,400,room_type_3
3,201,room_type_1
3,301,room_type_2
3,401,room_type_3
3,202,room_type_1
3,302,room_type_2
3,402,room_type_3
3,203,room_type_1
3,303,room_type_2
3,403,room_type_3
3,204,room_type_1
3,304,room_type_2
3,404,room_type_3
3,205,room_type_1
3,305,room_type_2
3,405,room_type_3
3,206,room_type_1
3,306,room_type_2
3,406,room_type_3
3,207,room_type_1
3,307,room_type_2
3,407,room_type_3
3,208,room_type_1
3,308,room_type_2
3,408,room_type_3
3,209,room_type_1
3,309,room_type_2
3,409,room_type_3
4,200,room_type_1
4,300,room_type_2
4,400,room_type_6
4,201,room_type_1
4,301,room_type_2
4,401,room_type_6
4,202,room_type_1
4,302,room_type_2
4,402,room_type_6
4,203,room_type_1
4,303,room_type_2
4,403,room_type_6
4,204,room_type_1
4,304,room_type_2
4,404,room_type_6
4,205,room_type_1
4,305,room_type_2
4,405,room_type_6
4,206,room_type_1
4,306,room_type_2
4,406,room_type_6
4,207,room_type_1
4,307,room_type_2
4,407,room_type_6
4,208,room_type_1
4,308,room_type_2
4,408,room_type_6
4,209,room_type_1
4,309,room_type_2
4,409,room_type_6
5,200,room_type_1
5,300,room_type_2
5,400,room_type_3
5,201,room_type_1
5,301,room_type_2
5,401,room_type_3
5,202,room_type_1
5,302,room_type_2
5,402,room_type_3
5,203,room_type_1
5,303,room_type_2
5,403,room_type_3
5,204,room_type_1
5,304,room_type_2
5,404,room_type_3
5,205,room_type_1
5,305,room_type_2
5,405,room_type_3
5,206,room_type_1
5,306,room_type_2
5,406,room_type_3
5,207,room_type_1
5,307,room_type_2
5,407,room_type_3
5,208,room_type_1
5,308,room_type_2
5,408,room_type_3
5,209,room_type_1
5,309,room_type_2
5,409,room_type_3
6,200,room_type_1
6,300,room_type_2
6,400,room_type_4
6,201,room_type_1
6,301,room_type_2
6,401,room_type_4
6,202,room_type_1
6,302,room_type_2
6,402,room_type_4
6,203,room_type_1
6,303,room_type_2
6,403,room_type_4
6,204,room_type_1
6,304,room_type_2
6,404,room_type_4
6,205,room_type_1
6,305,room_type_2
6,405,room_type_4
6,206,room_type_1
6,306,room_type_2
6,406,room_type_4
6,207,room_type_1
6,307,room_type_2
6,407,room_type_4
6,208,room_type_1
6,308,room_type_2
6,408,room_type_4
6,209,room_type_1
6,309,room_type_2
6,409,room_type_4
7,200,room_type_1
7,300,room_type_2
7,400,room_type_4
7,201,room_type_1
7,301,room_type_2
7,401,room_type_4
7,202,room_type_1
7,302,room_type_2
7,402,room_type_4
7,203,room_type_1
7,303,room_type_2
7,403,room_type_4
7,204,room_type_1
7,304,room_type_2
7,404,room_type_4
7,205,room_type_1
7,305,room_type_2
7,405,room_type_4
7,206,room_type_1
7,306,room_type_2
7,406,room_type_4
7,207,room_type_1
7,307,room_type_2
7,407,room_type_4
7,208,room_type_1
7,308,room_type_2
7,408,room_type_4
7,209,room_type_1
7,309,room_type_2
7,409,room_type_4
8,200,room_type_1
8,300,room_type_2
8,400,room_type_6
8,201,room_type_1
8,301,room_type_2
8,401,room_type_6
8,202,room_type_1
8,302,room_type_2
8,402,room_type_6
8,203,room_type_1
8,303,room_type_2
8,403,room_type_6
8,204,room_type_1
8,304,room_type_2
8,404,room_type_6
8,205,room_type_1
8,305,room_type_2
8,405,room_type_6
8,206,room_type_1
8,306,room_type_2
8,406,room_type_6
8,207,room_type_1
8,307,room_type_2
8,407,room_type_6
8,208,room_type_1
8,308,room_type_2
8,408,room_type_6
8,209,room_type_1
8,309,room_type_2
8,409,room_type_6
9,200,room_type_1
9,300,room_type_2
9,400,room_type_3
9,201,room_type_1
9,301,room_type_2
9,401,room_type_3
9,202,room_type_1
9,302,room_type_2
9,402,room_type_3
9,203,room_type_1
9,303,room_type_2
9,403,room_type_3
9,204,room_type_1
9,304,room_type_2
9,404,room_type_3
9,205,room_type_1
9,305,room_type_2
9,405,room_type_3
9,206,room_type_1
9,306,room_type_2
9,406,room_type_3
9,207,room_type_1
9,307,room_type_2
9,407,room_type_3
9,208,room_type_1
9,308,room_type_2
9,408,room_type_3
9,209,room_type_1
9,309,room_type_2
9,409,room_type_3
10,200,room_type_1
10,300,room_type_2
10,400,room_type_5
10,201,room_type_1
10,301,room_type_2
10,401,room_type_5
10,202,room_type_1
10,302,room_type_2
10,402,room_type_5
10,203,room_type_1
10,303,room_type_2
10,403,room_type_5
10,204,room_type_1
10,304,room_type_2
10,404,room_type_5
10,205,room_type_1
10,305,room_type_2
10,405,room_type_5
10,206,room_type_1
10,306,room_type_2
10,406,room_type_5
10,207,room_type_1
10,307,room_type_2
10,407,room_type_5
10,208,room_type_1
10,308,room_type_2
10,408,room_type_5
10,209,room_type_1
10,309,room_type_2
10,409,room_type_5
11,200,room_type_1
11,300,room_type_2
11,400,room_type_4
11,201,room_type_1
11,301,room_type_2
11,401,room_type_4
11,202,room_type_1
11,302,room_type_2
11,402,room_type_4
11,203,room_type_1
11,303,room_type_2
11,403,room_type_4
11,204,room_type_1
11,304,room_type_2
11,404,room_type_4
11,205,room_type_1
11,305,room_type_2
11,405,room_type_4
11,206,room_type_1
11,306,room_type_2
11,406,room_type_4
11,207,room_type_1
11,307,room_type_2
11,407,room_type_4
11,208,room_type_1
11,308,room_type_2
11,408,room_type_4
11,209,room_type_1
11,309,room_type_2
11,409,room_type_4
12,200,room_type_1
12,300,room_type_2
12,400,room_type_6
12,201,room_type_1
12,301,room_type_2
12,401,room_type_6
12,202,room_type_1
12,302,room_type_2
12,402,room_type_6
12,203,room_type_1
12,303,room_type_2
12,403,room_type_6
12,204,room_type_1
12,304,room_type_2
12,404,room_type_6
12,205,room_type_1
12,305,room_type_2
12,405,room_type_6
12,206,room_type_1
12,306,room_type_2
12,406,room_type_6
12,207,room_type_1
12,307,room_type_2
12,407,room_type_6
12,208,room_type_1
12,308,room_type_2
12,408,room_type_6
12,209,room_type_1
12,309,room_type_2
12,409,room_type_6
13,200,room_type_1
13,300,room_type_2
13,400,room_type_3
13,201,room_type_1
13,301,room_type_2
13,401,room_type_3
13,202,room_type_1
13,302,room_type_2
13,402,room_type_3
13,203,room_type_1
13,303,room_type_2
13,403,room_type_3
13,204,room_type_1
13,304,room_type_2
13,404,room_type_3
13,205,room_type_1
13,305,room_type_2
13,405,room_type_3
13,206,room_type_1
13,306,room_type_2
13,406,room_type_3
13,207,room_type_1
13,307,room_type_2
13,407,room_type_3
13,208,room_type_1
13,308,room_type_2
13,408,room_type_3
13,209,room_type_1
13,309,room_type_2
13,409,room_type_3
14,200,room_type_1
14,300,room_type_2
14,400,room_type_5
14,201,room_type_1
14,301,room_type_2
14,401,room_type_5
14,202,room_type_1
14,302,room_type_2
14,402,room_type_5
14,203,room_type_1
14,303,room_type_2
14,403,room_type_5
14,204,room_type_1
14,304,room_type_2
14,404,room_type_5
14,205,room_type_1
14,305,room_type_2
14,405,room_type_5
14,206,room_type_1
