hotel_id,title,description,total_inventory,total_reserved
1,room_type_1,single bedroom,10,10
1,room_type_2,double bedroom,10,10
1,room_type_4,king size,10,10
2,room_type_1,single bedroom,10,10
2,room_type_2,double bedroom,10,10
2,room_type_4,king size,10,10
3,room_type_1,single bedroom,10,10
3,room_type_2,double bedroom,10,10
3,room_type_3,queen size,10,10
4,room_type_1,single bedroom,10,10
4,room_type_2,double bedroom,10,10
4,room_type_6,apartment,10,10
5,room_type_1,single bedroom,10,10
5,room_type_2,double bedroom,10,10
5,room_type_3,queen size,10,10
6,room_type_1,single bedroom,10,10
6,room_type_2,double bedroom,10,10
6,room_type_4,king size,10,10
7,room_type_1,single bedroom,10,10
7,room_type_2,double bedroom,10,10
7,room_type_4,king size,10,10
8,room_type_1,single bedroom,10,10
8,room_type_2,double bedroom,10,10
8,room_type_6,apartment,10,10
9,room_type_1,single bedroom,10,10
9,room_type_2,double bedroom,10,10
9,room_type_3,queen size,10,10
10,room_type_1,single bedroom,10,10
10,room_type_2,double bedroom,10,10
10,room_type_5,suite,10,10
11,room_type_1,single bedroom,10,10
11,room_type_2,double bedroom,10,10
11,room_type_4,king size,10,10
12,room_type_1,single bedroom,10,10
12,room_type_2,double bedroom,10,10
12,room_type_6,apartment,10,10
13,room_type_1,single bedroom,10,10
13,room_type_2,double bedroom,10,10
13,room_type_3,queen size,10,10
14,room_type_1,single bedroom,10,10
14,room_type_2,double bedroom,10,10
14,room_type_5,suite,10,10
15,room_type_1,single bedroom,10,10
15,room_type_2,double bedroom,10,10
15,room_type_6,apartment,10,10
16,room_type_1,single bedroom,10,10
16,room_type_2,double bedroom,10,10
16,room_type_5,suite,10,10
17,room_type_1,single bedroom,10,10
17,room_type_2,double bedroom,10,10
17,room_type_6,apartment,10,10
18,room_type_1,single bedroom,10,10
18,room_type_2,double bedroom,10,10
18,room_type_3,queen size,10,10
19,room_type_1,single bedroom,10,10
19,room_type_2,double bedroom,10,10
19,room_type_5,suite,10,10
20,room_type_1,single bedroom,10,10
20,room_type_2,double bedroom,10,10
20,room_type_3,queen size,10,10
21,room_type_1,single bedroom,10,10
21,room_type_2,double bedroom,10,10
21,room_type_6,apartment,10,10
22,room_type_1,single bedroom,10,10
22,room_type_2,double bedroom,10,10
22,room_type_4,king size,10,10
23,room_type_1,single bedroom,10,10
23,room_type_2,double bedroom,10,10
23,room_type_6,apartment,10,10
24,room_type_1,single bedroom,10,10
24,room_type_2,double bedroom,10,10
24,room_type_5,suite,10,10
25,room_type_1,single bedroom,10,10
25,room_type_2,double bedroom,10,10
25,room_type_3,queen size,10,10
26,room_type_1,single bedroom,10,10
26,room_type_2,double bedroom,10,10
26,room_type_3,queen size,10,10
27,room_type_1,single bedroom,10,10
27,room_type_2,double bedroom,10,10
27,room_type_3,queen size,10,10
28,room_type_1,single bedroom,10,10
28,room_type_2,double bedroom,10,10
28,room_type_5,suite,10,10
29,room_type_1,single bedroom,10,10
29,room_type_2,double bedroom,10,10
29,room_type_5,suite,10,10
30,room_type_1,single bedroom,10,10
30,room_type_2,double bedroom,10,10
30,room_type_4,king size,10,10
31,room_type_1,single bedroom,10,10
31,room_type_2,double bedroom,10,10
31,room_type_6,apartment,10,10
32,room_type_1,single bedroom,10,10
32,room_type_2,double bedroom,10,10
32,room_type_6,apartment,10,10
33,room_type_1,single bedroom,10,10
33,room_type_2,double bedroom,10,10
33,room_type_6,apartment,10,10
34,room_type_1,single bedroom,10,10
34,room_type_2,double bedroom,10,10
34,room_type_6,apartment,10,10
35,room_type_1,single bedroom,10,10
35,room_type_2,double bedroom,10,10
35,room_type_6,apartment,10,10
36,room_type_1,single bedroom,10,10
36,room_type_2,double bedroom,10,10
36,room_type_5,suite,10,10
37,room_type_1,single bedroom,10,10
37,room_type_2,double bedroom,10,10
37,room_type_3,queen size,10,10
38,room_type_1,single bedroom,10,10
38,room_type_2,double bedroom,10,10
38,room_type_3,queen size,10,10
39,room_type_1,single bedroom,10,10
39,room_type_2,double bedroom,10,10
39,room_type_3,queen size,10,10
40,room_type_1,single bedroom,10,10
40,room_type_2,double bedroom,10,10
40,room_type_4,king size,10,10
41,room_type_1,single bedroom,10,10
41,room_type_2,double bedroom,10,10
41,room_type_4,king size,10,10
42,room_type_1,single bedroom,10,10
42,room_type_2,double bedroom,10,10
42,room_type_6,apartment,10,10
43,room_type_1,single bedroom,10,10
43,room_type_2,double bedroom,10,10
43,room_type_6,apartment,10,10
44,room_type_1,single bedroom,10,10
44,room_type_2,double bedroom,10,10
44,room_type_3,queen size,10,10
45,room_type_1,single bedroom,10,10
45,room_type_2,double bedroom,10,10
45,room_type_6,apartment,10,10
46,room_type_1,single bedroom,10,10
46,room_type_2,double bedroom,10,10
46,room_type_3,queen size,10,10
47,room_type_1,single bedroom,10,10
47,room_type_2,double bedroom,10,10
47,room_type_3,queen size,10,10
48,room_type_1,single bedroom,10,10
48,room_type_2,double bedroom,10,10
48,room_type_5,suite,10,10
49,room_type_1,single bedroom,10,10
49,room_type_2,double bedroom,10,10
49,room_type_5,suite,10,10
50,room_type_1,single bedroom,10,10
50,room_type_2,double bedroom,10,10
50,room_type_5,suite,10,10
51,room_type_1,single bedroom,10,10
51,room_type_2,double bedroom,10,10
51,room_type_3,queen size,10,10
52,room_type_1,single bedroom,10,10
52,room_type_2,double bedroom,10,10
52,room_type_6,apartment,10,10
53,room_type_1,single bedroom,10,10
53,room_type_2,double bedroom,10,10
53,room_type_4,king size,10,10
54,room_type_1,single bedroom,10,10
54,room_type_2,double bedroom,10,10
54,room_type_3,queen size,10,10
55,room_type_1,single bedroom,10,10
55,room_type_2,double bedroom,10,10
55,room_type_4,king size,10,10
56,room_type_1,single bedroom,10,10
56,room_type_2,double bedroom,10,10
56,room_type_5,suite,10,10
57,room_type_1,single bedroom,10,10
57,room_type_2,double bedroom,10,10
57,room_type_5,suite,10,10
58,room_type_1,single bedroom,10,10
58,room_type_2,double bedroom,10,10
58,room_type_5,suite,10,10
59,room_type_1,single bedroom,10,10
59,room_type_2,double bedroom,10,10
59,room_type_3,queen size,10,10
60,room_type_1,single bedroom,10,10
60,room_type_2,double bedroom,10,10
60,room_type_5,suite,10,10
61,room_type_1,single bedroom,10,10
61,room_type_2,double bedroom,10,10
61,room_type_4,king size,10,10
62,room_type_1,single bedroom,10,10
62,room_type_2,double bedroom,10,10
62,room_type_6,apartment,10,10
63,room_type_1,single bedroom,10,10
63,room_type_2,double bedroom,10,10
63,room_type_5,suite,10,10
64,room_type_1,single bedroom,10,10
64,room_type_2,double bedroom,10,10
64,room_type_6,apartment,10,10
65,room_type_1,single bedroom,10,10
65,room_type_2,double bedroom,10,10
65,room_type_5,suite,10,10
66,room_type_1,single bedroom,10,10
66,room_type_2,double bedroom,10,10
66,room_type_5,suite,10,10
67,room_type_1,single bedroom,10,10
67,room_type_2,double bedroom,10,10
67,room_type_4,king size,10,10
68,room_type_1,single bedroom,10,10
68,room_type_2,double bedroom,10,10
68,room_type_4,king size,10,10
69,room_type_1,single bedroom,10,10
69,room_type_2,double bedroom,10,10
69,room_type_4,king size,10,10
70,room_type_1,single bedroom,10,10
70,room_type_2,double bedroom,10,10
70,room_type_4,king size,10,10
71,room_type_1,single bedroom,10,10
71,room_type_2,double bedroom,10,10
71,room_type_4,king size,10,10
72,room_type_1,single bedroom,10,10
72,room_type_2,double bedroom,10,10
72,room_type_5,suite,10,10
73,room_type_1,single bedroom,10,10
73,room_type_2,double bedroom,10,10
73,room_type_4,king size,10,10
74,room_type_1,single bedroom,10,10
74,room_type_2,double bedroom,10,10
74,room_type_3,queen size,10,10
75,room_type_1,single bedroom,10,10
75,room_type_2,double bedroom,10,10
75,room_type_5,suite,10,10
76,room_type_1,single bedroom,10,10
76,room_type_2,double bedroom,10,10
76,room_type_3,queen size,10,10
77,room_type_1,single bedroom,10,10
77,room_type_2,double bedroom,10,10
77,room_type_4,king size,10,10
78,room_type_1,single bedroom,10,10
78,room_type_2,double bedroom,10,10
78,room_type_5,suite,10,10
79,room_type_1,single bedroom,10,10
79,room_type_2,double bedroom,10,10
79,room_type_3,queen size,10,10
80,room_type_1,single bedroom,10,10
80,room_type_2,double bedroom,10,10
80,room_type_4,king size,10,10
81,room_type_1,single bedroom,10,10
81,room_type_2,double bedroom,10,10
81,room_type_6,apartment,10,10
82,room_type_1,single bedroom,10,10
82,room_type_2,double bedroom,10,10
82,room_type_3,queen size,10,10
83,room_type_1,single bedroom,10,10
83,room_type_2,double bedroom,10,10
83,room_type_3,queen size,10,10
84,room_type_1,single bedroom,10,10
84,room_type_2,double bedroom,10,10
84,room_type_5,suite,10,10
85,room_type_1,single bedroom,10,10
85,room_type_2,double bedroom,10,10
85,room_type_6,apartment,10,10
86,room_type_1,single bedroom,10,10
86,room_type_2,double bedroom,10,10
86,room_type_3,queen size,10,10
87,room_type_1,single bedroom,10,10
87,room_type_2,double bedroom,10,10
87,room_type_3,queen size,10,10
88,room_type_1,single bedroom,10,10
88,room_type_2,double bedroom,10,10
88,room_type_3,queen size,10,10
89,room_type_1,single bedroom,10,10
89,room_type_2,double bedroom,10,10
89,room_type_5,suite,10,10
90,room_type_1,single bedroom,10,10
90,room_type_2,double bedroom,10,10
90,room_type_3,queen size,10,10
91,room_type_1,single bedroom,10,10
91,room_type_2,double bedroom,10,10
91,room_type_3,queen size,10,10
92,room_type_1,single bedroom,10,10
92,room_type_2,double bedroom,10,10
92,room_type_5,suite,10,10
93,room_type_1,single bedroom,10,10
93,room_type_2,double bedroom,10,10
93,room_type_4,king size,10,10
94,room_type_1,single bedroom,10,10
94,room_type_2,double bedroom,10,10
94,room_type_5,suite,10,10
95,room_type_1,single bedroom,10,10
95,room_type_2,double bedroom,10,10
95,room_type_4,king size,10,10
96,room_type_1,single bedroom,10,10
96,room_type_2,double bedroom,10,10
96,room_type_5,suite,10,10
97,room_type_1,single bedroom,10,10
97,room_type_2,double bedroom,10,10
97,room_type_4,king size,10,10
98,room_type_1,single bedroom,10,10
98,room_type_2,double bedroom,10,10
98,room_type_4,king size,10,10
99,room_type_1,single bedroom,10,10
99,room_type_2,double bedroom,10,10
99,room_type_6,apartment,10,10
100,room_type_1,single bedroom,10,10
100,room_type_2,double bedroom,10,10
100,room_type_5,suite,10,10
101,room_type_1,single bedroom,10,10
101,room_type_2,double bedroom,10,10
101,room_type_6,apartment,10,10
102,room_type_1,single bedroom,10,10
102,room_type_2,double bedroom,10,10
102,room_type_4,king size,10,10
103,room_type_1,single bedroom,10,10
103,room_type_2,double bedroom,10,10
103,room_type_3,queen size,10,10
104,room_type_1,single bedroom,10,10
104,room_type_2,double bedroom,10,10
104,room_type_6,apartment,10,10
105,room_type_1,single bedroom,10,10
105,room_type_2,double bedroom,10,10
105,room_type_4,king size,10,10
106,room_type_1,single bedroom,10,10
106,room_type_2,double bedroom,10,10
106,room_type_4,king size,10,10
107,room_type_1,single bedroom,10,10
107,room_type_2,double bedroom,10,10
107,room_type_4,king size,10,10
108,room_type_1,single bedroom,10,10
108,room_type_2,double bedroom,10,10
108,room_type_6,apartment,10,10
109,room_type_1,single bedroom,10,10
109,room_type_2,double bedroom,10,10
109,room_type_6,apartment,10,10
110,room_type_1,single bedroom,10,10
110,room_type_2,double bedroom,10,10
110,room_type_4,king size,10,10
111,room_type_1,single bedroom,10,10
111,room_type_2,double bedroom,10,10
111,room_type_3,queen size,10,10
112,room_type_1,single bedroom,10,10
112,room_type_2,double bedroom,10,10
112,room_type_6,apartment,10,10
113,room_type_1,single bedroom,10,10
113,room_type_2,double bedroom,10,10
113,room_type_6,apartment,10,10
114,room_type_1,single bedroom,10,10
114,room_type_2,double bedroom,10,10
114,room_type_3,queen size,10,10
115,room_type_1,single bedroom,10,10
115,room_type_2,double bedroom,10,10
115,room_type_5,suite,10,10
116,room_type_1,single bedroom,10,10
116,room_type_2,double bedroom,10,10
116,room_type_3,queen size,10,10
117,room_type_1,single bedroom,10,10
117,room_type_2,double bedroom,10,10
117,room_type_5,suite,10,10
